198.0487 	EXP 	grating: autoDraw = False
198.0506 	EXP 	window1: recordFrameIntervals = False
198.0516 	DATA 	Keypress: right
198.0653 	EXP 	polygon: autoDraw = False
198.0653 	EXP 	grating: autoDraw = False
198.0654 	EXP 	window1: recordFrameIntervals = False
199.0643 	EXP 	polygon: autoDraw = True
200.0658 	EXP 	polygon: autoDraw = False
200.0658 	EXP 	grating: autoDraw = True
200.0658 	EXP 	grating: tex = 'sin'
200.3513 	EXP 	window1: recordFrameIntervals = False
200.3523 	DATA 	Keypress: right
200.3661 	EXP 	grating: autoDraw = False
200.3661 	EXP 	polygon: autoDraw = False
200.3661 	EXP 	grating: autoDraw = False
200.3663 	EXP 	window1: recordFrameIntervals = False
201.3651 	EXP 	polygon: autoDraw = True
202.3666 	EXP 	polygon: autoDraw = False
202.3666 	EXP 	grating: autoDraw = True
202.3666 	EXP 	grating: tex = 'sin'
202.6664 	EXP 	grating: autoDraw = False
202.6683 	EXP 	window1: recordFrameIntervals = False
202.6693 	DATA 	Keypress: right
202.6832 	EXP 	polygon: autoDraw = False
202.6832 	EXP 	grating: autoDraw = False
202.6833 	EXP 	window1: recordFrameIntervals = False
203.6823 	EXP 	polygon: autoDraw = True
204.6674 	EXP 	grating: autoDraw = True
204.6674 	EXP 	grating: tex = 'sin'
204.6842 	EXP 	polygon: autoDraw = False
204.9685 	EXP 	grating: autoDraw = False
205.0358 	DATA 	Keypress: left
205.0526 	EXP 	window1: recordFrameIntervals = False
205.0674 	EXP 	polygon: autoDraw = False
205.0674 	EXP 	grating: autoDraw = False
205.0676 	EXP 	window1: recordFrameIntervals = False
206.0673 	EXP 	polygon: autoDraw = True
207.0679 	EXP 	polygon: autoDraw = False
207.0679 	EXP 	grating: autoDraw = True
207.0679 	EXP 	grating: tex = 'sin'
207.3684 	EXP 	grating: autoDraw = False
207.4533 	EXP 	window1: recordFrameIntervals = False
207.4543 	DATA 	Keypress: left
207.4681 	EXP 	polygon: autoDraw = False
207.4681 	EXP 	grating: autoDraw = False
207.4683 	EXP 	window1: recordFrameIntervals = False
208.4670 	EXP 	polygon: autoDraw = True
209.4529 	EXP 	grating: autoDraw = True
209.4529 	EXP 	grating: tex = 'sin'
209.4703 	EXP 	polygon: autoDraw = False
209.7521 	EXP 	grating: autoDraw = False
209.8704 	EXP 	window1: recordFrameIntervals = False
209.8713 	DATA 	Keypress: right
209.8853 	EXP 	polygon: autoDraw = False
209.8853 	EXP 	grating: autoDraw = False
209.8855 	EXP 	window1: recordFrameIntervals = False
210.8844 	EXP 	polygon: autoDraw = True
211.8698 	EXP 	grating: autoDraw = True
211.8698 	EXP 	grating: tex = 'sin'
211.8862 	EXP 	polygon: autoDraw = False
212.1697 	EXP 	grating: autoDraw = False
212.1720 	EXP 	window1: recordFrameIntervals = False
212.1730 	DATA 	Keypress: right
212.1863 	EXP 	polygon: autoDraw = False
212.1863 	EXP 	grating: autoDraw = False
212.1864 	EXP 	window1: recordFrameIntervals = False
213.1856 	EXP 	polygon: autoDraw = True
214.1870 	EXP 	polygon: autoDraw = False
214.1870 	EXP 	grating: autoDraw = True
214.1870 	EXP 	grating: tex = 'sin'
214.4869 	EXP 	grating: autoDraw = False
214.6228 	EXP 	window1: recordFrameIntervals = False
214.6239 	DATA 	Keypress: right
214.6377 	EXP 	polygon: autoDraw = False
214.6377 	EXP 	grating: autoDraw = False
